Sample 0: True Label: grab_F, Predicted: grab_F 
 Sample 147: True Label: pinch_H, Predicted: pinch_H 
 Sample 148: True Label: pinch_H, Predicted: pinch_H 
 Sample 149: True Label: pinch_H, Predicted: pinch_H 
 Sample 150: True Label: pinch_H, Predicted: pinch_H 
 Sample 151: True Label: pinch_H, Predicted: pinch_H 
 Sample 152: True Label: pinch_H, Predicted: pinch_H 
 Sample 153: True Label: pinch_H, Predicted: pinch_H 
 Sample 154: True Label: pinch_H, Predicted: pinch_H 
 Sample 155: True Label: pinch_H, Predicted: pinch_H 
 Sample 156: True Label: pinch_H, Predicted: pinch_H 
 Sample 157: True Label: pinch_H, Predicted: pinch_H 
 Sample 158: True Label: pinch_H, Predicted: pinch_H 
 Sample 159: True Label: pinch_H, Predicted: pinch_H 
 Sample 160: True Label: pinch_H, Predicted: pinch_H 
 Sample 161: True Label: pinch_H, Predicted: grab_F 
 Sample 162: True Label: pinch_H, Predicted: swipe_right_H 
 Sample 163: True Label: pinch_H, Predicted: pinch_H 
 Sample 164: True Label: pinch_H, Predicted: pinch_H 
 Sample 165: True Label: pinch_H, Predicted: swipe_up_H 
 Sample 166: True Label: pinch_H, Predicted: pinch_H 
 Sample 167: True Label: pinch_H, Predicted: pinch_H 
 Sample 168: True Label: pinch_H, Predicted: pinch_H 
 Sample 169: True Label: pinch_H, Predicted: pinch_H 
 Sample 170: True Label: pinch_H, Predicted: pinch_H 
 Sample 171: True Label: pinch_H, Predicted: pinch_H 
 Sample 172: True Label: pinch_H, Predicted: pinch_H 
 Sample 173: True Label: pinch_H, Predicted: pinch_H 
 Sample 174: True Label: rotation_cw_F, Predicted: rotation_cw_F 
 Sample 175: True Label: rotation_cw_F, Predicted: rotation_cw_F 
 Sample 176: True Label: rotation_cw_F, Predicted: rotation_cw_F 
 Sample 177: True Label: rotation_cw_F, Predicted: rotation_cw_F 
 Sample 178: True Label: rotation_cw_F, Predicted: rotation_cw_F 
 Sample 179: True Label: rotation_cw_F, Predicted: rotation_cw_H 
 Sample 180: True Label: rotation_cw_F, Predicted: rotation_cw_F 
 Sample 181: True Label: rotation_cw_F, Predicted: rotation_cw_F 
 Sample 182: True Label: rotation_cw_F, Predicted: rotation_cw_F 
 Sample 183: True Label: rotation_cw_F, Predicted: rotation_cw_F 
 Sample 184: True Label: rotation_cw_F, Predicted: rotation_cw_F 
 Sample 185: True Label: rotation_cw_F, Predicted: rotation_cw_F 
 Sample 186: True Label: rotation_cw_F, Predicted: rotation_cw_F 
 Sample 187: True Label: rotation_cw_F, Predicted: rotation_cw_F 
 Sample 188: True Label: rotation_cw_F, Predicted: rotation_cw_F 
 Sample 189: True Label: rotation_cw_F, Predicted: grab_F 
 Sample 190: True Label: rotation_cw_F, Predicted: grab_F 
 Sample 191: True Label: rotation_cw_F, Predicted: grab_F 
 Sample 192: True Label: rotation_cw_F, Predicted: grab_F 
 Sample 193: True Label: rotation_cw_F, Predicted: rotation_cw_F 
 Sample 194: True Label: rotation_cw_F, Predicted: rotation_cw_F 
 Sample 195: True Label: rotation_cw_F, Predicted: rotation_cw_F 
 Sample 196: True Label: rotation_cw_F, Predicted: rotation_cw_F 
 Sample 197: True Label: rotation_cw_F, Predicted: rotation_cw_F 
 Sample 198: True Label: rotation_cw_F, Predicted: rotation_cw_F 
 Sample 199: True Label: rotation_cw_F, Predicted: rotation_cw_H 
 Sample 200: True Label: rotation_cw_F, Predicted: grab_F 
 Sample 201: True Label: rotation_cw_H, Predicted: rotation_cw_H 
 Sample 202: True Label: rotation_cw_H, Predicted: rotation_cw_H 
 Sample 203: True Label: rotation_cw_H, Predicted: rotation_cw_H 
 Sample 204: True Label: rotation_cw_H, Predicted: grab_H 
 Sample 205: True Label: rotation_cw_H, Predicted: rotation_cw_H 
 Sample 206: True Label: rotation_cw_H, Predicted: rotation_cw_H 
 Sample 207: True Label: rotation_cw_H, Predicted: rotation_cw_H 
 Sample 208: True Label: rotation_cw_H, Predicted: rotation_cw_H 
 Sample 209: True Label: rotation_cw_H, Predicted: rotation_cw_H 
 Sample 210: True Label: rotation_cw_H, Predicted: rotation_cw_H 
 Sample 211: True Label: rotation_cw_H, Predicted: rotation_cw_H 
 Sample 212: True Label: rotation_cw_H, Predicted: rotation_cw_H 
 Sample 213: True Label: rotation_cw_H, Predicted: rotation_cw_H 
 Sample 214: True Label: rotation_cw_H, Predicted: tap_H 
 Sample 215: True Label: rotation_cw_H, Predicted: rotation_cw_H 
 Sample 216: True Label: rotation_cw_H, Predicted: grab_H 
 Sample 217: True Label: rotation_cw_H, Predicted: rotation_cw_H 
 Sample 218: True Label: rotation_cw_H, Predicted: rotation_cw_H 
 Sample 219: True Label: rotation_cw_H, Predicted: rotation_cw_H 
 Sample 220: True Label: rotation_cw_H, Predicted: rotation_cw_H 
 Sample 221: True Label: rotation_cw_H, Predicted: rotation_cw_H 
 Sample 222: True Label: rotation_cw_H, Predicted: rotation_cw_H 
 Sample 223: True Label: rotation_cw_H, Predicted: grab_H 
 Sample 224: True Label: rotation_cw_H, Predicted: grab_H 
 Sample 225: True Label: rotation_ccw_F, Predicted: rotation_ccw_F 
 Sample 226: True Label: rotation_ccw_F, Predicted: rotation_ccw_F 
 Sample 227: True Label: rotation_ccw_F, Predicted: rotation_ccw_F 
 Sample 228: True Label: rotation_ccw_F, Predicted: swipe_right_F 
 Sample 229: True Label: rotation_ccw_F, Predicted: rotation_ccw_F 
 Sample 230: True Label: rotation_ccw_F, Predicted: rotation_ccw_F 
 Sample 231: True Label: rotation_ccw_F, Predicted: rotation_ccw_H 
 Sample 232: True Label: rotation_ccw_F, Predicted: rotation_ccw_H 
 Sample 233: True Label: rotation_ccw_F, Predicted: rotation_ccw_F 
 Sample 234: True Label: rotation_ccw_F, Predicted: rotation_ccw_F 
 Sample 235: True Label: rotation_ccw_F, Predicted: rotation_ccw_F 
 Sample 236: True Label: rotation_ccw_F, Predicted: swipe_right_F 
 Sample 237: True Label: rotation_ccw_F, Predicted: rotation_ccw_F 
 Sample 238: True Label: rotation_ccw_F, Predicted: rotation_ccw_F 
 Sample 239: True Label: rotation_ccw_F, Predicted: swipe_right_F 
 Sample 240: True Label: rotation_ccw_F, Predicted: rotation_ccw_F 
 Sample 241: True Label: rotation_ccw_F, Predicted: rotation_ccw_F 
 Sample 242: True Label: rotation_ccw_F, Predicted: rotation_ccw_F 
 Sample 243: True Label: rotation_ccw_F, Predicted: rotation_ccw_F 
 Sample 244: True Label: rotation_ccw_F, Predicted: rotation_ccw_F 
 Sample 245: True Label: rotation_ccw_F, Predicted: rotation_ccw_F 
 Sample 246: True Label: rotation_ccw_F, Predicted: rotation_ccw_F 
 Sample 247: True Label: rotation_ccw_F, Predicted: rotation_ccw_F 
 Sample 248: True Label: rotation_ccw_F, Predicted: rotation_ccw_F 
 Sample 249: True Label: rotation_ccw_F, Predicted: rotation_ccw_F 
 Sample 250: True Label: rotation_ccw_F, Predicted: rotation_ccw_F 
 Sample 251: True Label: rotation_ccw_F, Predicted: rotation_ccw_F 
 Sample 252: True Label: rotation_ccw_F, Predicted: rotation_ccw_F 
 Sample 253: True Label: rotation_ccw_F, Predicted: rotation_ccw_F 
 Sample 254: True Label: rotation_ccw_H, Predicted: rotation_ccw_H 
 Sample 255: True Label: rotation_ccw_H, Predicted: rotation_ccw_H 
 Sample 256: True Label: rotation_ccw_H, Predicted: rotation_ccw_H 
 Sample 257: True Label: rotation_ccw_H, Predicted: rotation_ccw_H 
 Sample 258: True Label: rotation_ccw_H, Predicted: rotation_ccw_H 
 Sample 259: True Label: rotation_ccw_H, Predicted: rotation_ccw_H 
 Sample 260: True Label: rotation_ccw_H, Predicted: rotation_ccw_H 
 Sample 261: True Label: rotation_ccw_H, Predicted: rotation_ccw_H 
 Sample 262: True Label: rotation_ccw_H, Predicted: rotation_ccw_H 
 Sample 263: True Label: rotation_ccw_H, Predicted: rotation_ccw_H 
 Sample 264: True Label: rotation_ccw_H, Predicted: rotation_ccw_H 
 Sample 265: True Label: rotation_ccw_H, Predicted: rotation_ccw_H 
 Sample 266: True Label: rotation_ccw_H, Predicted: grab_H 
 Sample 267: True Label: rotation_ccw_H, Predicted: rotation_ccw_H 
 Sample 268: True Label: rotation_ccw_H, Predicted: rotation_ccw_H 
 Sample 269: True Label: rotation_ccw_H, Predicted: rotation_ccw_H 
 Sample 270: True Label: rotation_ccw_H, Predicted: rotation_ccw_H 
 Sample 271: True Label: rotation_ccw_H, Predicted: rotation_ccw_H 
 Sample 272: True Label: rotation_ccw_H, Predicted: rotation_ccw_H 
 Sample 273: True Label: rotation_ccw_H, Predicted: rotation_ccw_H 
 Sample 274: True Label: rotation_ccw_H, Predicted: rotation_ccw_H 
 Sample 275: True Label: rotation_ccw_H, Predicted: rotation_ccw_H 
 Sample 276: True Label: rotation_ccw_H, Predicted: rotation_ccw_H 
 Sample 277: True Label: rotation_ccw_H, Predicted: rotation_ccw_H 
 Sample 278: True Label: rotation_ccw_H, Predicted: rotation_ccw_H 
 Sample 279: True Label: rotation_ccw_H, Predicted: rotation_ccw_H 
 Sample 280: True Label: tap_F, Predicted: tap_H 
 Sample 281: True Label: tap_F, Predicted: tap_H 
 Sample 282: True Label: tap_F, Predicted: tap_F 
 Sample 283: True Label: tap_F, Predicted: tap_F 
 Sample 284: True Label: tap_F, Predicted: tap_F 
 Sample 285: True Label: tap_F, Predicted: tap_F 
 Sample 286: True Label: tap_F, Predicted: tap_F 
 Sample 287: True Label: tap_F, Predicted: tap_F 
 Sample 288: True Label: tap_F, Predicted: tap_F 
 Sample 289: True Label: tap_F, Predicted: tap_F 
 Sample 290: True Label: tap_F, Predicted: tap_F 
 Sample 291: True Label: tap_F, Predicted: tap_F 
 Sample 292: True Label: tap_F, Predicted: tap_F 
 Sample 293: True Label: tap_F, Predicted: tap_F 
 Sample 294: True Label: tap_F, Predicted: tap_F 
 Sample 295: True Label: tap_F, Predicted: tap_F 
 Sample 296: True Label: tap_F, Predicted: tap_F 
 Sample 297: True Label: tap_F, Predicted: tap_F 
 Sample 298: True Label: tap_F, Predicted: tap_F 
 Sample 299: True Label: tap_F, Predicted: tap_F 
 Sample 300: True Label: tap_F, Predicted: tap_F 
 Sample 301: True Label: tap_F, Predicted: tap_F 
 Sample 302: True Label: tap_F, Predicted: tap_F 
 Sample 303: True Label: tap_F, Predicted: tap_F 
 Sample 304: True Label: tap_F, Predicted: tap_F 
 Sample 305: True Label: tap_F, Predicted: tap_F 
 Sample 306: True Label: tap_F, Predicted: tap_F 
 Sample 307: True Label: tap_F, Predicted: tap_F 
 Sample 308: True Label: tap_F, Predicted: tap_F 
 Sample 309: True Label: tap_F, Predicted: tap_F 
 Sample 310: True Label: tap_F, Predicted: tap_F 
 Sample 311: True Label: tap_F, Predicted: tap_F 
 Sample 312: True Label: tap_H, Predicted: tap_H 
 Sample 313: True Label: tap_H, Predicted: tap_H 
 Sample 314: True Label: tap_H, Predicted: grab_F 
 Sample 315: True Label: tap_H, Predicted: tap_H 
 Sample 316: True Label: tap_H, Predicted: grab_F 
 Sample 317: True Label: tap_H, Predicted: tap_H 
 Sample 318: True Label: tap_H, Predicted: tap_F 
 Sample 319: True Label: tap_H, Predicted: tap_F 
 Sample 320: True Label: tap_H, Predicted: tap_H 
 Sample 321: True Label: tap_H, Predicted: tap_H 
 Sample 322: True Label: tap_H, Predicted: tap_H 
 Sample 323: True Label: tap_H, Predicted: tap_F 
 Sample 324: True Label: tap_H, Predicted: tap_H 
 Sample 325: True Label: tap_H, Predicted: tap_H 
 Sample 326: True Label: tap_H, Predicted: tap_H 
 Sample 327: True Label: tap_H, Predicted: tap_H 
 Sample 328: True Label: tap_H, Predicted: tap_H 
 Sample 329: True Label: tap_H, Predicted: tap_H 
 Sample 330: True Label: tap_H, Predicted: tap_H 
 Sample 331: True Label: tap_H, Predicted: tap_H 
 Sample 332: True Label: tap_H, Predicted: tap_H 
 Sample 333: True Label: tap_H, Predicted: tap_H 
 Sample 334: True Label: tap_H, Predicted: tap_H 
 Sample 335: True Label: tap_H, Predicted: tap_H 
 Sample 336: True Label: tap_H, Predicted: tap_H 
 Sample 337: True Label: tap_H, Predicted: tap_H 
 Sample 338: True Label: swipe_right_F, Predicted: swipe_right_F 
 Sample 339: True Label: swipe_right_F, Predicted: swipe_right_F 
 Sample 340: True Label: swipe_right_F, Predicted: swipe_right_F 
 Sample 341: True Label: swipe_right_F, Predicted: swipe_right_F 
 Sample 342: True Label: swipe_right_F, Predicted: swipe_right_F 
 Sample 343: True Label: swipe_right_F, Predicted: swipe_right_F 
 Sample 344: True Label: swipe_right_F, Predicted: swipe_right_F 
 Sample 345: True Label: swipe_right_F, Predicted: swipe_right_F 
 Sample 346: True Label: swipe_right_F, Predicted: swipe_right_F 
 Sample 347: True Label: swipe_right_F, Predicted: swipe_right_F 
 Sample 348: True Label: swipe_right_F, Predicted: swipe_right_F 
 Sample 349: True Label: swipe_right_F, Predicted: swipe_right_F 
 Sample 350: True Label: swipe_right_F, Predicted: swipe_right_F 
 Sample 351: True Label: swipe_right_F, Predicted: swipe_right_F 
 Sample 352: True Label: swipe_right_F, Predicted: swipe_right_F 
 Sample 353: True Label: swipe_right_F, Predicted: swipe_right_F 
 Sample 354: True Label: swipe_right_F, Predicted: swipe_right_F 
 Sample 355: True Label: swipe_right_F, Predicted: swipe_right_F 
 Sample 356: True Label: swipe_right_F, Predicted: swipe_right_F 
 Sample 357: True Label: swipe_right_F, Predicted: swipe_right_F 
 Sample 358: True Label: swipe_right_F, Predicted: swipe_right_F 
 Sample 359: True Label: swipe_right_F, Predicted: swipe_right_F 
 Sample 360: True Label: swipe_right_F, Predicted: swipe_right_F 
 Sample 361: True Label: swipe_right_F, Predicted: rotation_ccw_F 
 Sample 362: True Label: swipe_right_F, Predicted: swipe_right_F 
 Sample 363: True Label: swipe_right_F, Predicted: swipe_right_F 
 Sample 364: True Label: swipe_right_F, Predicted: swipe_right_F 
 Sample 365: True Label: swipe_right_F, Predicted: swipe_right_F 
 Sample 366: True Label: swipe_right_F, Predicted: swipe_right_F 
 Sample 367: True Label: swipe_right_F, Predicted: swipe_right_F 
 Sample 368: True Label: swipe_right_F, Predicted: swipe_right_F 
 Sample 369: True Label: swipe_right_F, Predicted: swipe_right_F 
 Sample 370: True Label: swipe_right_F, Predicted: swipe_left_F 
 Sample 371: True Label: swipe_right_H, Predicted: swipe_right_H 
 Sample 372: True Label: swipe_right_H, Predicted: swipe_right_H 
 Sample 373: True Label: swipe_right_H, Predicted: swipe_right_H 
 Sample 374: True Label: swipe_right_H, Predicted: swipe_right_H 
 Sample 375: True Label: swipe_right_H, Predicted: swipe_right_H 
 Sample 376: True Label: swipe_right_H, Predicted: swipe_right_H 
 Sample 377: True Label: swipe_right_H, Predicted: swipe_right_H 
 Sample 378: True Label: swipe_right_H, Predicted: swipe_right_H 
 Sample 379: True Label: swipe_right_H, Predicted: swipe_right_H 
 Sample 380: True Label: swipe_right_H, Predicted: swipe_right_H 
 Sample 381: True Label: swipe_right_H, Predicted: swipe_right_H 
 Sample 382: True Label: swipe_right_H, Predicted: swipe_right_H 
 Sample 383: True Label: swipe_right_H, Predicted: swipe_right_H 
 Sample 384: True Label: swipe_right_H, Predicted: swipe_right_H 
 Sample 385: True Label: swipe_right_H, Predicted: swipe_right_H 
 Sample 386: True Label: swipe_right_H, Predicted: grab_H 
 Sample 387: True Label: swipe_right_H, Predicted: swipe_y_H 
 Sample 388: True Label: swipe_right_H, Predicted: swipe_right_H 
 Sample 389: True Label: swipe_right_H, Predicted: swipe_y_H 
 Sample 390: True Label: swipe_right_H, Predicted: swipe_y_H 
 Sample 391: True Label: swipe_right_H, Predicted: swipe_right_H 
 Sample 392: True Label: swipe_right_H, Predicted: swipe_right_H 
 Sample 393: True Label: swipe_right_H, Predicted: swipe_right_H 
 Sample 394: True Label: swipe_right_H, Predicted: swipe_right_H 
 Sample 395: True Label: swipe_right_H, Predicted: swipe_right_H 
 Sample 396: True Label: swipe_right_H, Predicted: swipe_right_H 
 Sample 397: True Label: swipe_right_H, Predicted: swipe_right_H 
 Sample 398: True Label: swipe_right_H, Predicted: swipe_right_H 
 Sample 399: True Label: swipe_right_H, Predicted: swipe_right_H 
 Sample 400: True Label: swipe_left_F, Predicted: swipe_left_F 
 Sample 401: True Label: swipe_left_F, Predicted: swipe_left_F 
 Sample 402: True Label: swipe_left_F, Predicted: swipe_left_F 
 Sample 403: True Label: swipe_left_F, Predicted: swipe_left_F 
 Sample 404: True Label: swipe_left_F, Predicted: swipe_left_F 
 Sample 405: True Label: swipe_left_F, Predicted: swipe_left_F 
 Sample 406: True Label: swipe_left_F, Predicted: swipe_left_F 
 Sample 407: True Label: swipe_left_F, Predicted: swipe_left_F 
 Sample 408: True Label: swipe_left_F, Predicted: swipe_y_F 
 Sample 409: True Label: swipe_left_F, Predicted: swipe_left_F 
 Sample 410: True Label: swipe_left_F, Predicted: swipe_left_F 
 Sample 411: True Label: swipe_left_F, Predicted: swipe_left_F 
 Sample 412: True Label: swipe_left_F, Predicted: swipe_left_F 
 Sample 413: True Label: swipe_left_F, Predicted: swipe_left_F 
 Sample 414: True Label: swipe_left_F, Predicted: swipe_left_F 
 Sample 415: True Label: swipe_left_F, Predicted: swipe_left_F 
 Sample 416: True Label: swipe_left_F, Predicted: swipe_left_F 
 Sample 417: True Label: swipe_left_F, Predicted: rotation_ccw_F 
 Sample 418: True Label: swipe_left_F, Predicted: swipe_left_F 
 Sample 419: True Label: swipe_left_F, Predicted: swipe_left_F 
 Sample 420: True Label: swipe_left_F, Predicted: rotation_ccw_F 
 Sample 421: True Label: swipe_left_F, Predicted: swipe_left_F 
 Sample 422: True Label: swipe_left_F, Predicted: swipe_left_F 
 Sample 423: True Label: swipe_left_F, Predicted: swipe_left_F 
 Sample 424: True Label: swipe_left_F, Predicted: swipe_left_F 
 Sample 425: True Label: swipe_left_F, Predicted: swipe_left_F 
 Sample 426: True Label: swipe_left_H, Predicted: swipe_left_H 
 Sample 427: True Label: swipe_left_H, Predicted: swipe_left_H 
 Sample 428: True Label: swipe_left_H, Predicted: swipe_left_H 
 Sample 429: True Label: swipe_left_H, Predicted: swipe_left_H 
 Sample 430: True Label: swipe_left_H, Predicted: swipe_left_H 
 Sample 431: True Label: swipe_left_H, Predicted: swipe_left_H 
 Sample 432: True Label: swipe_left_H, Predicted: swipe_left_H 
 Sample 433: True Label: swipe_left_H, Predicted: swipe_left_H 
 Sample 434: True Label: swipe_left_H, Predicted: swipe_left_H 
 Sample 435: True Label: swipe_left_H, Predicted: swipe_left_H 
 Sample 436: True Label: swipe_left_H, Predicted: swipe_left_H 
 Sample 437: True Label: swipe_left_H, Predicted: swipe_left_H 
 Sample 438: True Label: swipe_left_H, Predicted: swipe_left_H 
 Sample 439: True Label: swipe_left_H, Predicted: swipe_left_H 
 Sample 440: True Label: swipe_left_H, Predicted: swipe_left_H 
 Sample 441: True Label: swipe_left_H, Predicted: swipe_left_H 
 Sample 442: True Label: swipe_left_H, Predicted: swipe_left_H 
 Sample 443: True Label: swipe_left_H, Predicted: swipe_left_H 
 Sample 444: True Label: swipe_left_H, Predicted: swipe_left_H 
 Sample 445: True Label: swipe_left_H, Predicted: swipe_left_H 
 Sample 446: True Label: swipe_left_H, Predicted: swipe_left_H 
 Sample 447: True Label: swipe_left_H, Predicted: swipe_left_H 
 Sample 448: True Label: swipe_left_H, Predicted: swipe_left_H 
 Sample 449: True Label: swipe_left_H, Predicted: swipe_left_H 
 Sample 450: True Label: swipe_left_H, Predicted: rotation_ccw_H 
 Sample 451: True Label: swipe_left_H, Predicted: swipe_left_H 
